,Movie_Title,Genre,Director,Number_of_Screens,Verdict,RevenueUSD,BudgetUSD,Music.Director
1,Ghajini,action,A.R. Murugadoss,1550,Blockbuster,6.24,23.34984,A.R. Rehman
2,Taare Zameen Par,drama,Aamir Khan,500,Super Hit,2.16,10.50942,Shankar - Ehsaan - Loy
3,Mangal Pandey - The Rising,drama,Ketan Mehta,675,Flop,4.44,6.30942,A.R. Rehman
4,Fanaa,love_story,Kunal Kohli,650,Super Hit,3.6,12.6576,Jatin - Lalit
5,Dangal,drama,Nitish Tiwari,4250,All Time Blockbuster,15.84,84.297,Pritam
6,3 Idiots,drama,Rajkumar Hirani,1750,All Time Blockbuster,9.24,41.89242,Shantanu Moitra
7,PK,drama,Rajkumar Hirani,3600,All Time Blockbuster,14.64,73.92435,Ajay - Atul
8,Rang De Basanti,drama,Rakesh Omprakash Mehra,600,Hit,3.36,11.74896,A.R. Rehman
9,Talaash,thriller,Reema Kagti,2550,Semi Hit,8.52,20.75661,Ram Sampath
10,Dhoom 3,action,Vijay Krishna Acharya,3650,All Time Blockbuster,21,62.92512,Pritam
11,Oye Lucky! Lucky Oye!,comedy,Dibakar Banerjee,400,Flop,1.44,1.20744,Sneha Khanwalkar
12,Socha Na Tha,rom__com,Imtiaz Ali,110,Flop,0.6,0.6336,Sandesh Shandilya
13,Honeymoon Travels Pvt. Ltd.,rom__com,Reema Kagti,350,Average,1.2,2.34192,Vishal - Shekhar
14,Roar - Tigers Of The Sundarbans,thriller,Kamal Sadanah,1250,Flop,3,1.61535,John Stewart
15,Players,action,Abbas - Mustan,1900,Disaster,6.6,5.8272,Pritam
16,Game,thriller,Abhinay Deo,1100,Disaster,4.08,1.54551,Shankar - Ehsaan - Loy
17,Khelein Hum Jee Jaan Sey,drama,Ashutosh Gowariker,750,Disaster,4.68,0.919845,Sohail Sen
18,Drona,action,Goldie Behl,750,Disaster,5.16,2.16792,Dhruv Ghanekar
19,Guru,drama,Mani Ratnam,650,Hit,2.64,10.04052,A.R. Rehman
20,Raavan,action,Mani Ratnam,1350,Flop,6.6,5.94867,A.R. Rehman
21,Delhi 6,drama,Rakesh Omprakash Mehra,1100,Flop,5.76,6.261,A.R. Rehman
22,Bluffmaster,thriller,Rohan Sippy,350,Semi Hit,1.2,3.9252,Vishal - Shekhar
23,Dum Maaro Dum,thriller,Rohan Sippy,1350,Flop,3.72,6.14328,Pritam
24,Bunty Aur Babli,comedy,Shaad Ali,475,Super Hit,1.5,7.64886,Shankar - Ehsaan - Loy
25,Jhoom Barabar Jhoom,rom__com,Shaad Ali,950,Below Average,3.24,5.823,Shankar - Ehsaan - Loy
26,Dostana,rom__com,Tarun Mansukhani,1000,Average,4.8,10.45821,Vishal - Shekhar
27,All Is Well,drama,Umesh Shukla,1650,Disaster,4.08,2.76384,Himesh Reshammiya
28,Fitoor,drama,Abhishek Kapoor,1500,Disaster,8.52,4.7739,Amit Trivedi
29,Aashiqui 2,love_story,Mohit Suri,1150,Blockbuster,1.8,13.1256,Mithoon
30,Ok Jaanu,drama,Shaad Ali,1400,Flop,3.24,4.50024,A.R. Rehman
31,Yeh Jo Mohabbat Hai,love_story,Shree Narayan Singh,125,Disaster,0.96,0.035216256,Anu Malik
32,Aloo Chaat,comedy,Robby Grewal,400,Flop,1.2,0.89616,RDB
33,Ankahee,thriller,Vikram Bhatt,125,Disaster,0.72,0.21156,Pritam
34,Umrao Jaan,drama,J.P. Dutta,500,Disaster,2.76,2.343,Anu Malik
35,Provoked,drama,Jag Mundhra,90,Disaster,1.44,1.59357,A.R. Rehman
36,The Mistress Of Spices,drama,Somnath Sen,50,Disaster,1.08,0.4128,Mahesh Balraj
37,U Me Aur Hum,love_story,Ajay Devgn,600,Flop,3,4.8024,Vishal Bhardwaj
38,Shivaay,thriller,Ajay Devgn,2950,Below Average,12.36,14.89746,Jasleen Royal
39,Blackmail,thriller,Anil Devgan,325,Disaster,1.14,0.79047,Himesh Reshammiya
40,Cash,thriller,Anubhav Sinha,1000,Flop,3.84,3.51606,Vishal - Shekhar
41,Atithi Tum Kab Jaoge?,comedy,Ashwini Dhir,1050,Average,2.64,5.19732,Pritam
42,Son Of Sardaar,masala,Ashwini Dhir,2000,Hit,8.04,16.21497,Himesh Reshammiya
43,Rascals,comedy,David Dhawan,1850,Flop,5.52,6.122175,Vishal - Shekhar
44,Main Aisa Hi Hoon,drama,Harry Baweja,250,Disaster,0.9,0.6213,Himesh Reshammiya
45,Shikhar,drama,John M. Matthan,350,Disaster,1.68,1.2414,Viju Shah
46,Insan,action,K. Subhash,350,Disaster,1.5,1.2492,Himesh Reshammiya
47,Toonpur Ka Superrhero,fantasy,Kireet Khurana,500,Disaster,3,0.612555,Anu Malik
48,Dil Toh Baccha Hai Ji,comedy,Madhur Bhandarkar,1350,Flop,3.48,4.8552,Pritam
49,Tango Charlie,action,Mani Shankar,325,Disaster,1.62,1.378275,Anu Malik
50,Once Upon A Time In Mumbaai,drama,Milan Luthria,1400,Hit,4.2,10.22136,Pritam
51,Baadshaho,action,Milan Luthria,2850,Flop,10.8,12.14184,Ankit Tiwari
52,Drishyam,thriller,Nishikant Kamat,2250,Average,7.44,13.25112,Vishal Bhardwaj
53,Action Jackson,action,Prabhu Deva,3350,Flop,11.16,10.66461,Himesh Reshammiya
54,Apaharan,action,Prakash Jha,425,Semi Hit,1.32,2.7798,Aadesh Shrivastava
55,Satyagraha,drama,Prakash Jha,2650,Flop,8.76,10.9209,Salim - Sulaiman
56,Aakrosh,thriller,Priyadarshan,1200,Disaster,4.56,2.32836,Pritam
57,Tezz,thriller,Priyadarshan,1950,Disaster,6.24,3.13485,Sajid - Wajid
58,Halla Bol,drama,Rajkumar Santoshi,925,Flop,3.24,2.3268,Sukhwinder Singh
59,Golmaal - Fun Unlimited,comedy,Rohit Shetty,600,Hit,1.8,5.60712,Vishal - Shekhar
60,Sunday,comedy,Rohit Shetty,900,Flop,2.64,3.83538,Raghav Sachar
61,Golmaal Returns,comedy,Rohit Shetty,1250,Hit,4.2,9.60096,Ashish Pandit
62,All The Best - Fun Begins,comedy,Rohit Shetty,1300,Average,4.92,7.4133,Pritam
63,Golmaal 3,comedy,Rohit Shetty,1750,Blockbuster,6,20.34762,Pritam
64,Singham,action,Rohit Shetty,2050,Super Hit,4.92,16.95642,Ajay - Atul
65,Bol Bachchan,comedy,Rohit Shetty,2500,Hit,7.92,19.15968,Ajay - Atul
66,Singham Returns,action,Rohit Shetty,3500,Super Hit,12.6,25.98837,Honey Singh
67,Golmaal Again,comedy,Rohit Shetty,3300,Blockbuster,17.04,37.3254,DJ Chetas
68,Himmatwala,masala,Sajid Khan,3150,Flop,8.16,7.895925,Sajid - Wajid
69,Kaal,thriller,Soham Shah,450,Average,1.56,3.9741,Salim - Sulaiman
70,Omkara,drama,Vishal Bhardwaj,625,Flop,3.12,5.08944,Vishal Bhardwaj
71,Holiday - A Soldier Is Never Off Duty,thriller,A.R. Murugadoss,3300,Hit,10.32,21.17064,Pritam
72,The Shaukeens,comedy,Abhishek Sharma,1800,Flop,4.92,3.2643,Honey Singh
73,Welcome,comedy,Anees Bazmee,1250,Super Hit,5.76,14.3397,Sajid - Wajid
74,Singh Is Kinng,masala,Anees Bazmee,1400,Super Hit,6,14.8761,Pritam
75,Thank You,comedy,Anees Bazmee,1800,Flop,7.32,8.52279,Pritam
76,Blue,action,Anthony D'Souza,1500,Flop,9.6,7.67055,A.R. Rehman
77,Boss,action,Anthony D'Souza,2800,Flop,8.4,10.17936,Meet Bros
78,Khiladi 786,comedy,Ashish R. Mohan,2750,Average,7.56,11.64648,Himesh Reshammiya
79,Bewafaa,love_story,Dharmesh Darshan,450,Below Average,2.16,3.98196,Nadeem - Shravan
80,Tees Maar Khan,comedy,Farah Khan,2200,Semi Hit,5.4,11.94174,Vishal - Shekhar
81,Entertainment,comedy,Farhad - Sajid,2850,Flop,9.72,12.39636,Sachin - Jigar
82,Housefull 3,comedy,Farhad - Sajid,3650,Hit,11.64,23.3922,Mika Singh
83,Brothers,action,Karan Malhotra,3400,Flop,13.44,14.7714,Ajay - Atul
84,Gabbar Is Back,action,Krish,3100,Semi Hit,9.48,16.29744,Chirantan Bhatt
85,Once Upon A Time In Mumbaai Dobaara!,action,Milan Luthria,2300,Flop,12,11.0052,Pritam
86,8 x 10 Tasveer,thriller,Nagesh Kukunoor,825,Disaster,4.2,2.8296,Salim - Sulaiman
87,Special 26,thriller,Neeraj Pandey,1600,Semi Hit,6,12.43488,M.M. Kreem
88,Baby,thriller,Neeraj Pandey,2450,Average,9,14.98128,Meet Bros
89,Phir Hera Pheri,comedy,Neeraj Vora,575,Super Hit,2.16,8.2944,Himesh Reshammiya
90,Chandni Chowk To China,action,Nikhil Advani,1400,Disaster,7.44,6.74715,Shankar - Ehsaan - Loy
91,Patiala House,drama,Nikhil Advani,1550,Flop,6,6.72486,Shankar - Ehsaan - Loy
92,Rowdy Rathore,action,Prabhu Deva,2800,Blockbuster,9.24,23.8173,Sajid - Wajid
93,Singh Is Bling,masala,Prabhu Deva,3100,Flop,10.92,15.0462,Sajid - Wajid
94,Garam Masala,comedy,Priyadarshan,550,Hit,2.04,6.55821,Pritam
95,Bhagam Bhag,comedy,Priyadarshan,750,Hit,3.84,8.13903,Pritam
96,Bhool Bhulaiyaa,comedy,Priyadarshan,1050,Hit,3.84,9.94053,Pritam
97,De Dana Dan,comedy,Priyadarshan,1550,Average,7.2,9.82224,Pritam
98,Khatta Meetha,comedy,Priyadarshan,1450,Below Average,4.2,7.53504,Pritam
99,Humko Deewana Kar Gaye,love_story,Raj Kanwar,475,Flop,2.04,3.2838,Anu Malik
100,Family - Ties of Blood,action,Rajkumar Santoshi,525,Disaster,3,1.75143,Ram Sampath
101,Desi Boyz,drama,Rohit Dhawan,2100,Flop,6.48,9.65232,Pritam
102,Kambakkht Ishq,rom__com,Sabbir Khan,1500,Average,7.8,10.26756,Anu Malik
103,Heyy Babyy,comedy,Sajid Khan,1000,Hit,4.32,10.07268,Shankar - Ehsaan - Loy
104,Housefull,comedy,Sajid Khan,1700,Hit,5.64,13.95642,Shankar - Ehsaan - Loy
105,Housefull 2,comedy,Sajid Khan,2650,Super Hit,8.64,22.6086,Sajid - Wajid
106,Jaan-E-Mann,love_story,Shirish Kunder,700,Flop,4.2,5.55216,Anu Malik
107,Joker,fantasy,Shirish Kunder,1950,Disaster,5.64,3.85305,G.V. Prakash Kumar
108,Toilet Ek Prem Katha,drama,Shree Narayan Singh,2950,Super Hit,9,24.0096,Vickey Prasad
109,Jolly LLB 2,comedy,Subhash Kapoor,3300,Hit,9.96,21.92811,Manj Musik
110,Dosti - Friends Forever,love_story,Suneel Darshan,400,Flop,1.8,2.76873,Nadeem - Shravan
111,Mere Jeevan Saathi,love_story,Suneel Darshan,250,Disaster,1.32,0.93849,Nadeem - Shravan
112,OMG! Oh My God,comedy,Umesh Shukla,1200,Super Hit,3,14.5893,Meet Bros
113,Tashan,action,Vijay Krishna Acharya,950,Below Average,3.72,6.1944,Vishal - Shekhar
114,Deewane Huye Paagal,comedy,Vikram Bhatt,500,Flop,2.4,3.1899,Anu Malik
115,Waqt - The Race Against Time,drama,Vipul Amrutlal Shah,400,Average,1.92,5.09835,Anu Malik
116,Namastey London,love_story,Vipul Amrutlal Shah,775,Semi Hit,3.72,8.56923,Himesh Reshammiya
117,Action Replayy,comedy,Vipul Amrutlal Shah,1500,Flop,6.12,5.555325,Pritam
118,36 China Town,suspense,Abbas - Mustan,450,Semi Hit,2.28,4.5504,Himesh Reshammiya
119,Naqaab,thriller,Abbas - Mustan,825,Disaster,2.28,2.54445,Pritam
120,Aap Ki Khatir,love_story,Dharmesh Darshan,350,Disaster,1.92,1.58856,Himesh Reshammiya
121,Gandhi My Father,drama,Feroz Abbas Khan,180,Disaster,0.96,0.89964,Piyush Kanojia
122,Short Kut - The Con Is On,comedy,Neeraj Vora,775,Disaster,2.88,1.6065,Shankar - Ehsaan - Loy
123,Mere Baap Pehle Aap,comedy,Priyadarshan,800,Below Average,2.4,4.34856,Vidyasagar
124,Shaadi Se Pehle,rom__com,Satish Kaushik,350,Flop,1.32,2.02638,Himesh Reshammiya
125,Khamoshiyan,horror,Karan Darra,1500,Flop,1.44,1.61016,Naveed Zafar
126,Tere Bin Laden,comedy,Abhishek Sharma,375,Below Average,1.14,1.37172,Shankar - Ehsaan - Loy
127,London Paris New York,love_story,Anu Menon,550,Flop,1.26,1.33821,Ali Zafar
128,Chasme Baddoor,comedy,David Dhawan,1500,Hit,2.4,7.536525,Sajid - Wajid
129,Total Siyaapa,rom__com,E. Niwas,850,Disaster,2.04,1.57788,Ali Zafar
130,Dear Zindagi,drama,Gauri Shinde,1150,Semi Hit,5.52,16.66965, Amit Trivedi
131,Pink,drama,Aniruddha Roy Chowdhury,1000,Hit,3.48,13.12536,Anupam Roy
132,Teen Patti,thriller,Leena Yadav,575,Disaster,2.16,0.9156,Salim - Sulaiman
133,Viruddh... Family Comes First,drama,Mahesh Manjrekar,260,Below Average,1.08,2.2215,Ajay - Atul
134,Bhoothnath Returns,drama,Nitish Tiwari,1500,Below Average,4.32,6.13044,Honey Singh
135,Bbuddah Hoga Terra Baap,action,Puri Jagannadh,1000,Flop,2.52,2.94312,Vishal - Shekhar
136,Cheeni Kum,rom__com,R. Balki,250,Semi Hit,1.32,3.8664,Ilaiyaraja
137,Paa,drama,R. Balki,600,Semi Hit,2.52,5.8719,Ilaiyaraja
138,Shamitabh,drama,R. Balki,1600,Disaster,5.88,4.4553,Ilaiyaraja
139,Sarkar,drama,Ram Gopal Verma,425,Semi Hit,1.68,4.71657,Bappi - Tutal
140,Nishabd,drama,Ram Gopal Verma,400,Flop,1.02,1.40544,Vishal Bhardwaj
141,Ram Gopal Varma Ki Aag,action,Ram Gopal Verma,875,Disaster,2.52,1.5276,Prasanna Shekhar
142,Sarkar Raj,action,Ram Gopal Verma,1100,Below Average,3.24,7.14642,Bappi - Tutal
143,Sarkar 3,action,Ram Gopal Verma,1450,Disaster,4.32,2.46456, Ram Shankar
144,Black,drama,Sanjay Leela Bhansali,235,Average,2.76,4.91244,Monty Sharma
145,Piku - Motion Se Hi Emotion,drama,Shoojit Sircar,1300,Hit,5.04,16.9518,Anupam Roy
146,Eklavya - The Royal Guard,thriller,Vidhu Vinod Chopra,750,Flop,3.6,4.65936,Shantanu Moitra
147,Bhoothnath,drama,Vivek Sharma,625,Average,2.4,4.6548,Salim - Sulaiman
148,No Entry,comedy,Anees Bazmee,600,Super Hit,2.88,8.8962,Anu Malik
149,No Problem,comedy,Anees Bazmee,1350,Flop,4.8,5.409,Pritam
150,Black & White,drama,Subhash Ghai,350,Flop,1.08,0.99258,Sukhwinder Singh
151,Khosla Ka Ghosla,comedy,Dibakar Banerjee,125,Below Average,0.45,0.801285,Bappi - Tutal
152,Kisaan,drama,Puneet Sira,525,Disaster,1.8,0.3312,Daboo Malik
153,2 States,love_story,Abhishek Varman,1900,Super Hit,5.4,20.7588,Shankar - Ehsaan - Loy
154,Tevar,masala,Amit Ravindernath Sharma,2850,Flop,6.48,6.7815,Imraan Khan
155,Mubarakan,comedy,Anees Bazmee,2300,Flop,7.8,10.79196,Rishi Rich
156,Aurangzeb,drama,Atul Sabharwal,1200,Flop,2.64,4.20303,Amartya Rahut
157,Ishaqzaade,love_story,Habib Faisal,1100,Hit,2.28,7.566,Amit Trivedi
158,Half Girlfriend,love_story,Mohit Suri,2400,Below Average,6.96,10.37706,Rishi Rich
159,Ek Ajnabee,action,Apoorva Lakhia,325,Flop,1.44,1.47648,Amar Mohile
160,Daddy,drama,Ashim Ahluwalia,1150,Flop,2.52,1.85748,Sajid - Wajid
161,D Day,thriller,Nikhil Advani,1250,Flop,3.36,3.46779,Shankar - Ehsaan - Loy
162,Chakravyuh,drama,Prakash Jha,1200,Flop,3.6,3.0924,Salim - Sulaiman
163,Vaada,thriller,Satish Kaushik,285,Flop,0.96,1.1436,Himesh Reshammiya
164,Inkaar,drama,Sudhir Mishra,800,Flop,1.68,1.7922,Shantanu Moitra
165,Elaan,action,Vikram Bhatt,375,Disaster,1.8,1.55277,Anu Malik
166,I See You,drama,Vivek Agrawal,125,Disaster,0.96,0.230805,Vishal - Shekhar
167,Lekar Hum Deewana Dil,rom__com,Arif Ali,875,Disaster,0.3384,0.54432,A.R. Rehman
168,Welcome 2 Karachi,comedy,Ashish R. Mohan,1350,Disaster,3.48,1.62435,Rochak Kohli
169,Krazzy 4,comedy,Jaideep Sen,800,Average,2.16,3.87336,Rajesh Roshan
170,Hum Tum Aur Ghost,fantasy,Kabeer Kaushik,450,Disaster,2.52,0.9612,Shankar - Ehsaan - Loy
171,Anthony Kaun Hai?,comedy,Raj Kaushal,300,Disaster,1.56,1.17552,Himesh Reshammiya
172,Jolly LLB,comedy,Subhash Kapoor,875,Hit,1.62,5.1948,Krsna
173,Guddu Rangeela,drama,Subhash Kapoor,975,Disaster,2.4,1.1523,Amit Trivedi
174,Meri Pyaari Bindu,rom__com,Akshay Roy,750,Flop,2.64,2.13492,Sachin - Jigar
175,Bareilly Ki Barfi,rom__com,Ashwiny Iyer Tiwari,1000,Average,2.4,6.58752,Samira Koppikar
176,Bewakoofiyaan,rom__com,Nupur Asthana,1100,Flop,2.64,2.66472,Raghu Dixit
177,Shubh Mangal Saavdhan,comedy,R.S. Prasanna,1300,Semi Hit,3,7.68264,Vayu
178,Nautanki Saala,comedy,Rohan Sippy,925,Below Average,1.92,3.95187,Mikey McCleary
179,Dum Laga Ke Haisha,comedy,Sharat Katariya,775,Semi Hit,1.68,4.97445,Anu Malik
180,Vicky Donor,comedy,Shoojit Sircar,575,Hit,1.2,7.3584,Rochak Kohli
181,Hawaizaada,drama,Vibhu Puri,900,Disaster,4.08,0.6708,Mangesh Dhakde
182,Corporate,drama,Madhur Bhandarkar,250,Average,0.81,1.80672,Shamir Tandon
183,Creature 3D,horror,Vikram Bhatt,1300,Flop,3,2.4762,Tony Kakkar
184,Humko Tumse Pyaar Hai,love_story,Bunty Soorma,140,Disaster,0.9,0.51936,Anand Raj Anand
185,Chamku,action,Kabeer Kaushik,425,Disaster,1.2,0.37161,Monty Sharma
186,Ek - The Power Of One,action,Sangeeth Sivan,650,Disaster,2.52,1.098,Pritam
187,Barsaat,love_story,Suneel Darshan,375,Below Average,1.2,2.3472,Nadeem - Shravan
188,Jurm,thriller,Vikram Bhatt,275,Disaster,1.08,0.7368,Anu Malik
189,Shirin Farhad Ki Toh Nikal Padi,rom__com,Bela Sehgal,650,Flop,2.28,2.3841,Jeet Ganguly
190,Finding Fanny,drama,Homi Adajania,875,Flop,3.48,6.15372,Mathias Duplessy
191,Raanjhanaa,love_story,Anand L. Rai,1450,Hit,4.32,11.29611,A.R. Rehman
192,Second Hand Husband,comedy,Smeep Kang,525,Disaster,1.32,0.6126,Jatinder Shah
193,Phillauri,drama,Anshai Lal,1500,Flop,3.48,5.5929,Jasleen Royal
194,Tom Dick and Harry,comedy,Deepak Tijori,275,Average,0.9,1.6218,Himesh Reshammiya
195,Aashiq Banaye Aapne,love_story,Aaditya Datt,225,Below Average,0.54,1.1187,Himesh Reshammiya
196,Azhar,drama,Anthony D'Souza,2100,Flop,4.8,5.99268,Amal Malik
197,Good Boy Bad Boy,comedy,Ashwini Chaudhary,525,Flop,1.5,1.239225,Himesh Reshammiya
198,Shanghai,thriller,Dibakar Banerjee,975,Flop,2.76,4.1958, Vishal - Shekhar
199,Tum Mile,love_story,Kunal Deshmukh,675,Disaster,2.64,1.6152,Pritam
